Codigo,Dominio,Control,Descripcion,Severidad,CVSS_Score,Framework_CIS,Framework_ISO,Framework_NIST,Recursos_Inventario,Region_Principal,Estado_Verificacion,Hallazgo_Encontrado,Cantidad_Afectada,Prioridad,Tiempo_Remediacion_Dias,Esfuerzo_Horas,Responsable,Fecha_Verificacion,Evidencia,Recomendacion
COMP-006,COMPLIANCE,Inventario de Activos Incompleto,Inventario de recursos cloud incompleto o desactualizado,ALTA,6.5,N/A,ISO 27001 A.8.1.1,NIST ID.AM-1,437 recursos totales,Multi-region,Pendiente,,0,2,14,20,,,,Mantener inventario actualizado con herramienta CMDB
COMP-007,COMPLIANCE,Clasificación de Datos Ausente,Datos sin clasificación según criticidad y sensibilidad,ALTA,7.1,N/A,ISO 27001 A.8.2.1,NIST ID.AM-5,Todos los datos,Multi-region,Pendiente,,0,2,21,40,,,,Implementar esquema de clasificación de datos
OPS-001,OPERATIONS,Auto Scaling No Configurado,Servicios críticos sin auto scaling configurado,MEDIA,5.9,N/A,ISO 27001 A.17.1.1,NIST PR.PT-5,112 ECS,LA-Buenos Aires1,Pendiente,,0,3,30,16,,,,Configurar AS para servicios críticos
OPS-002,OPERATIONS,Health Checks Ausentes,Load balancers y servicios sin health checks configurados,MEDIA,4.3,N/A,ISO 27001 A.17.1.1,NIST DE.CM-8,2 ELBs,LA-Buenos Aires1,Pendiente,,0,3,30,4,,,,Configurar health checks en todos los ELBs
OPS-003,OPERATIONS,DRP No Documentado,Plan de recuperación ante desastres no documentado o probado,ALTA,7.5,N/A,ISO 27001 A.17.1.1,NIST RC.RP-1,Todos los servicios,Multi-region,Pendiente,,0,2,21,60,,,,Documentar y probar DRP completo
OPS-004,OPERATIONS,RTO/RPO No Definidos,Objetivos de tiempo y punto de recuperación no establecidos,MEDIA,5.3,N/A,ISO 27001 A.17.1.2,NIST RC.RP-1,Servicios críticos,Multi-region,Pendiente,,0,3,30,24,,,,Definir RTO/RPO para cada servicio crítico
OPS-005,OPERATIONS,Pruebas de Recuperación No Realizadas,Sin pruebas periódicas de procedimientos de recuperación,ALTA,6.5,N/A,ISO 27001 A.17.1.3,NIST RC.IM-2,Backups/DRP,Multi-region,Pendiente,,0,2,14,32,,,,Ejecutar pruebas de recuperación trimestrales
OPS-006,OPERATIONS,Configuración Manual No Documentada,Configuraciones manuales sin documentación o automatización,MEDIA,4.3,N/A,ISO 27001 A.12.1.1,NIST PR.IP-1,112 ECS,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,3,45,40,,,,Documentar o automatizar con IaC todas las configuraciones
SEC-001,SECURITY,WAF No Implementado,Aplicaciones web sin Web Application Firewall,ALTA,7.5,CIS 7.1,ISO 27001 A.13.1.1,NIST PR.PT-4,Aplicaciones Web,LA-Buenos Aires1,Pendiente,,0,2,14,8,,,,Implementar WAF para aplicaciones web expuestas
SEC-002,SECURITY,Anti-DDoS No Configurado,Servicios expuestos sin protección Anti-DDoS,ALTA,7.5,CIS 7.2,ISO 27001 A.13.1.1,NIST PR.PT-4,Servicios públicos,Multi-region,Pendiente,,0,2,7,4,,,,Activar Anti-DDoS para servicios críticos expuestos
SEC-003,SECURITY,HSS No Implementado,Host Security Service no implementado en ECS,MEDIA,5.3,N/A,ISO 27001 A.12.2.1,NIST DE.CM-4,112 ECS,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,3,30,24,,,,Implementar HSS en todos los ECS de producción
SEC-004,SECURITY,Vulnerability Scanning Ausente,Sin escaneos regulares de vulnerabilidades,ALTA,6.8,N/A,ISO 27001 A.12.6.1,NIST DE.CM-8,112 ECS + Aplicaciones,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,2,14,16,,,,Implementar escaneo mensual de vulnerabilidades
SEC-005,SECURITY,Container Security No Implementado,CCE sin políticas de seguridad para contenedores,ALTA,7.3,CIS 7.3,ISO 27001 A.12.6.1,NIST PR.DS-1,1 CCE,LA-Buenos Aires1,Pendiente,,0,2,14,12,,,,Implementar políticas de seguridad para CCE
DATA-001,DATA,Sin Política de Residencia de Datos,Datos procesados/almacenados sin restricciones geográficas,CRITICA,8.4,N/A,ISO 27001 A.18.1.1,NIST ID.GV-3,Todos los datos,5 regiones,Pendiente,,0,1,7,32,,,,Definir política de residencia de datos para cumplimiento regulatorio argentino
DATA-002,DATA,Datos Sensibles sin Clasificación,PII/PCI/datos críticos sin identificación ni controles especiales,CRITICA,8.9,N/A,ISO 27001 A.8.2.1,NIST ID.AM-5,Bases de datos y OBS,Multi-region,Pendiente,,0,1,7,40,,,,Implementar DLP y clasificación de datos sensibles
ACCESS-001,ACCESS,Sin Bastion Host/PAM,Acceso directo SSH/RDP a servidores sin jump server,CRITICA,8.7,CIS 4.10,ISO 27001 A.9.1.2,NIST PR.AC-5,112 ECS,LA-Buenos Aires1/LA-Santiago,Pendiente,,0,1,3,16,,,,Implementar Bastion Host con grabación de sesiones
ACCESS-002,ACCESS,Workstations Administrativas sin Hardening,Equipos de admins sin restricciones ni monitoreo especial,ALTA,7.8,N/A,ISO 27001 A.9.2.3,NIST PR.AC-4,Admin workstations,Global,Pendiente,,0,2,14,24,,,,Implementar PAWs (Privileged Access Workstations)
SECRET-001,SECRETS,Credenciales en Código/Configuración,Passwords y API keys hardcodeadas en aplicaciones,CRITICA,9.2,CIS 1.22,ISO 27001 A.9.4.3,NIST PR.AC-1,Aplicaciones,Multi-region,Pendiente,,0,1,3,8,,,,Implementar Key Management Service para gestión de secretos
SECRET-002,SECRETS,Sin Rotación Automática de Secretos,Credenciales de aplicaciones sin rotación programada,ALTA,7.5,N/A,ISO 27001 A.9.2.6,NIST PR.AC-1,Service credentials,Multi-region,Pendiente,,0,2,14,16,,,,Automatizar rotación de secretos con KMS/Vault
IR-001,INCIDENT,Sin Plan de Respuesta a Incidentes Cloud,Ausencia de playbooks específicos para incidentes en nube,CRITICA,8.1,N/A,ISO 27001 A.16.1.1,NIST RS.RP-1,Proceso IR,Global,Pendiente,,0,1,7,40,,,,Desarrollar runbooks para incidentes específicos de cloud
IR-002,INCIDENT,Sin Capacidad Forense en Cloud,Incapacidad para realizar análisis forense en ECS/containers,ALTA,7.2,N/A,ISO 27001 A.16.1.7,NIST RS.AN-1,Forensics capability,Multi-region,Pendiente,,0,2,21,32,,,,Implementar herramientas y procedimientos forenses para cloud
COST-001,COST,Sin Control de Gastos por Ambiente,Recursos sin etiquetado para control de costos,MEDIA,4.8,N/A,ISO 27001 A.8.1.1,NIST ID.AM-1,437 recursos,Multi-region,Pendiente,,0,3,30,16,,,,Implementar tagging obligatorio y alertas de costos
